sets,hand_size,deals,hand_type,count
10,21,23,ascending,4262
7,12,8,descending,55866
6,15,15,ascending,5255116365
4,15,3,ascending,20304093355
3,18,16,ascending,108180866
10,18,17,ascending,6217174
4,12,0,ascending,252425308175
5,15,11,ascending,13099580624
14,18,12,ascending,994
6,12,17,ascending,16734142257
11,12,4,ascending,924168
4,21,15,ascending,130
1,12,16,descending,39060109456
4,18,8,ascending,197967084
12,12,22,ascending,395379
7,21,11,ascending,10149
11,15,7,ascending,85884
2,18,6,ascending,26316310
13,15,17,ascending,142
2,18,19,descending,6267
1,18,13,ascending,2509172
7,12,0,ascending,6545662251
7,18,15,ascending,152015897
10,21,6,ascending,3426
14,12,21,ascending,11037
7,12,22,ascending,2855809273
1,15,4,descending,232188190
6,15,6,descending,5246513
6,18,13,ascending,236054296
5,18,20,ascending,273820490
2,12,13,ascending,379174277926
4,15,4,ascending,21537179502
14,12,14,ascending,11256
5,15,1,ascending,6010940106
8,15,12,ascending,263298199
4,15,20,ascending,22836409770
9,12,10,ascending,57617983
3,15,4,descending,227575836
5,18,21,ascending,274269369
12,12,13,ascending,407911
4,15,15,ascending,22715799640
2,15,22,descending,366668842
3,15,10,ascending,25946358241
1,15,13,ascending,7663236844
10,15,1,ascending,911735
5,18,17,descending,7812
5,12,2,ascending,75239061872
3,15,11,ascending,26070534710
12,18,20,ascending,158326
9,15,5,descending,1102
13,21,6,ascending,123
15,21,14,ascending,6
16,21,8,ascending,2
7,18,22,ascending,154214794
6,15,9,descending,5302446
8,15,15,descending,34644
6,15,7,ascending,5236566675
6,12,7,ascending,17434241097
6,18,22,ascending,242684212
11,21,11,ascending,1369
2,18,15,ascending,29792630
9,15,18,descending,1114
5,12,1,descending,48643189
10,15,23,ascending,2543104
9,15,11,descending,1137
12,21,15,ascending,465
11,18,11,ascending,1168300
6,18,15,descending,2874
5,12,21,ascending,67599112083
0,15,8,descending,63748691
0,12,15,descending,29347639555
10,12,20,ascending,12037079
2,12,18,descending,21273484648
0,15,9,ascending,1007908449
1,15,18,descending,275576312
8,18,19,descending,121
6,18,2,ascending,109333990
0,18,13,ascending,42603
0,18,6,ascending,37130
12,12,12,ascending,411382
1,15,22,descending,277819307
6,18,20,ascending,242077207
7,12,8,ascending,3000558969
4,18,12,descending,12334
9,18,20,ascending,24523335
2,15,13,ascending,19217248687
6,15,8,ascending,5233105487
8,12,13,ascending,370633269
1,15,14,ascending,7698305659
7,15,4,descending,518073
3,18,21,descending,11757
11,18,7,ascending,1173984
3,15,21,descending,265664481
1,15,17,descending,274642848
10,15,21,ascending,2049710
4,12,6,descending,1162916797
1,12,15,descending,38984987906
14,12,22,ascending,10710
3,18,11,ascending,103377782
2,18,4,descending,4335
4,15,11,ascending,22483029554
2,12,15,descending,21198016966
11,18,3,ascending,920691
0,18,9,ascending,39462
4,21,3,ascending,55
0,12,16,ascending,68362527547
5,18,14,ascending,267915563
4,12,21,ascending,181540299362
9,18,7,descending,29
2,18,10,ascending,28060407
6,18,12,ascending,234325634
7,18,16,ascending,152566406
14,21,6,ascending,35
4,12,12,ascending,182945299452
2,18,6,descending,5005
2,15,18,descending,364054055
10,15,19,ascending,2049308
9,12,6,ascending,60096143
4,18,17,ascending,214927372
9,15,19,ascending,31268547
13,12,6,ascending,100947
4,18,7,descending,11078
8,15,11,descending,34294
9,15,6,ascending,32315541
4,21,16,ascending,122
5,18,11,descending,7359
7,12,10,descending,54921
7,15,6,ascending,1443717989
3,18,13,descending,11055
6,18,4,ascending,207876507
1,12,20,ascending,255060455013
4,21,13,ascending,118
10,12,10,ascending,12698952
5,15,14,descending,31658406
3,12,1,descending,2989491865
1,18,19,descending,1407
12,21,5,ascending,443
10,18,18,ascending,6221870
6,15,14,descending,5403520
11,18,2,ascending,548130
11,12,20,ascending,792309
0,12,5,descending,27812019291
0,18,17,descending,130
4,15,7,ascending,22190803643
7,15,9,descending,558513
6,18,7,descending,2499
8,21,11,ascending,10882
7,12,6,descending,56677
13,12,0,ascending,422928
2,12,17,ascending,379322331261
11,15,16,ascending,81695
12,18,16,ascending,156971
9,15,17,ascending,31280879
6,21,6,ascending,4692
5,18,22,descending,8078
5,12,5,descending,109788641
1,12,10,ascending,253044408001
8,18,17,ascending,71122607
12,15,16,ascending,41
2,15,4,descending,309887527
2,15,14,ascending,19291025607
3,18,20,ascending,109715163
10,15,4,ascending,2086087
6,15,23,ascending,5217182212
7,18,9,ascending,146509726
2,15,9,ascending,18783498270
4,12,10,ascending,183789338417
12,12,8,ascending,435820
4,12,2,descending,879098956
1,12,7,ascending,251469152118
12,21,19,ascending,474
3,21,18,ascending,23
2,12,6,descending,20698847085
4,18,18,descending,13434
4,18,22,descending,13700
8,12,11,ascending,375507200
5,12,21,descending,109563275
0,12,2,descending,22104294094
9,18,18,descending,21
3,21,3,ascending,11
5,12,15,descending,109477498
7,12,3,descending,50651
7,18,13,ascending,150566410
4,18,20,ascending,216716456
0,18,18,ascending,44365
8,18,15,descending,117
5,12,0,ascending,111909502105
1,12,11,descending,38491708781
4,15,17,ascending,22781058939
15,21,8,ascending,3
6,21,20,ascending,6232
9,12,11,ascending,57083542
4,21,11,ascending,125
5,18,13,ascending,266084384
13,15,18,ascending,151
1,18,15,descending,1349
5,15,8,descending,30680528
5,15,14,ascending,13172906689
8,15,11,ascending,263664189
0,18,5,ascending,36375
9,15,14,descending,1114
2,18,16,ascending,29988675
3,15,22,descending,265996074
9,18,8,descending,22
2,18,16,descending,5990
6,15,20,descending,5470953
13,18,5,ascending,15390
6,18,21,descending,2957
0,15,17,ascending,1058743755
6,12,20,ascending,16686787199
5,12,4,descending,107201675
5,18,9,descending,7114
8,18,2,ascending,32595694
10,12,14,ascending,12265595
5,18,6,descending,6549
3,12,14,ascending,329915006925
11,12,8,ascending,873512
7,18,18,descending,662
11,12,10,ascending,846169
4,15,5,descending,106986179
5,15,12,descending,31365202
2,15,5,ascending,18275909593
4,18,17,descending,13217
6,18,14,descending,2717
4,21,20,ascending,145
